Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,fingerprint
"Phường 2, Quận 3",30.0,Nhà mặt tiền,44.1,5.0,6.0,6.0,,,Sổ hồng,d8b003e2dacbd5eefc9e13951325df05
"Thị Trấn Nhà Bè, Huyện Nhà Bè",6.5,"Nhà hẻm, ngõ",80.0,4.0,5.0,,,,Giấy tờ hợp lệ,c895b1c0d8d1492a248b6815fa1d9798
"Phường Phú Thọ Hòa, Quận Tân Phú",8.5,"Nhà hẻm, ngõ",68.0,,,3.0,,,Sổ hồng,af17fa71fd86c926fc4a75fe5429f795
"Phường 8, Quận Tân Bình",6.0,Đất thổ cư,56.0,,,,,,Đang chờ sổ,283a7656be712d9ce005ecc166436982
"Phường Phạm Ngũ Lão, Quận 1",17.0,"Nhà hẻm, ngõ",58.7,,,2.0,,,Giấy tờ hợp lệ,fe4b2e6d45415630b1cc127959a16b47
"Phường Bình Trị Đông, Quận Bình Tân",42.0,Nhà mặt tiền,400.0,,,3.0,,,Sổ hồng,6bf456f39172d600c1e6aad8d5ace8e5
"Huyện Nhà Bè, TP.HCM",5.99,"Đất dự án, Khu dân cư",80.0,,,,,,Sổ hồng,6e4347139f61b98219a2edae9bb38e76
"Phường 4, Quận Tân Bình",16.5,"Nhà hẻm, ngõ",120.0,,,,,,Sổ hồng,22f554776f54173f74ded51a9fb06cbc
"Thị Trấn Hóc Môn, Huyện Hóc Môn",0.75,"Nhà hẻm, ngõ",60.0,,,,,,Sổ hồng,8e1b7bf7b11094e9407b4c979aef5896
"Phường 11, Quận Gò Vấp",9.9,Nhà mặt tiền,300.0,5.0,6.0,4.0,Tây Nam,Tây Nam,Sổ hồng,ecca5d861f6e6abb1d9d95eb05319a89
"Phường 8, Quận 10",13.0,"Nhà hẻm, ngõ",60.0,6.0,6.0,4.0,Đông Nam,Đông Nam,Sổ hồng,42dcb6ba0c80f366dbbface0cafed32a
"Phường 12, Quận Gò Vấp",10.9,"Nhà hẻm, ngõ",72.0,4.0,6.0,4.0,,,Sổ hồng,bee617f342da23b4b63955ef3d9bfacc
"Phường 12, Quận Tân Bình",23.5,Nhà mặt tiền,84.0,,,6.0,,,Sổ hồng,54ae0af8d2fec5e421ceff76ec667010
"Phường 14, Quận Tân Bình",2.09,"Nhà hẻm, ngõ",27.0,1.0,1.0,1.0,,,Sổ hồng,92fa903c4a43a297d9e73bed5027c7c9
"Phường 14, Quận Tân Bình",11.9,Nhà mặt tiền,56.0,5.0,4.0,4.0,,,Sổ hồng,4bafe03bb287e968ce1ed7b5d4cf0377
"Phường 3, Quận Gò Vấp",3.59,"Nhà hẻm, ngõ",26.0,2.0,2.0,3.0,,,Sổ hồng,700f583749d50ae606351590223c58e8
"Xã Trung Lập Thượng, Huyện Củ Chi",0.55,Đất thổ cư,161.0,,,,Bắc,,Sổ hồng,ec50d1247497b920a1260748fd36bfe7
"Xã Thái Mỹ, Huyện Củ Chi",8.5,Đất thổ cư,1640.0,,,,Tây,,Sổ hồng,bfcb0a21638ee419167d91fcc326d6bc
"Phường 10, Quận Tân Bình",6.95,"Nhà hẻm, ngõ",95.0,4.0,4.0,2.0,,,Sổ hồng,afb0d6882b20529ef861f65396dd375d
"Phường 1, Quận Bình Thạnh",4.8,"Nhà hẻm, ngõ",47.0,2.0,2.0,2.0,,,Sổ hồng,4c23900969476887bd37838b52e40b34
"Phường Thạnh Lộc, Quận 12",1.79,"Nhà hẻm, ngõ",47.0,3.0,3.0,3.0,,,Sổ hồng,d97b344ac56b6a6ae7b3d787742d89d0
"Xã Bình Hưng, Huyện Bình Chánh",1.35,Đất thổ cư,100.0,,,,,,Sổ hồng,368428a7fc0b8464fcef9fb678fc520e
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",2.35,"Nhà hẻm, ngõ",68.0,4.0,5.0,5.0,,,Sổ hồng,c71b3e259098a8883279a5257fad31ec
"Xã Thái Mỹ, Huyện Củ Chi",3.0,"Đất nông nghiệp, kho bãi",2813.0,,,,,,Sổ hồng,9368e9d9c53c21e4677f6568cc913c41
"Phường 13, Quận Tân Bình",7.5,"Nhà hẻm, ngõ",86.0,,,,,,Sổ hồng,a4ef9362c58c91d47ade0090dce9dd91
"Phường Thạnh Xuân, Quận 12",1.79,"Nhà hẻm, ngõ",57.0,4.0,4.0,5.0,,,Sổ hồng,847a98d953950e149c0df25bb1900b8b
"Phường 15, Quận Phú Nhuận",9.95,"Nhà hẻm, ngõ",60.0,4.0,5.0,4.0,Tây Bắc,Tây Bắc,Sổ hồng,2afc2204ba03cbefb7e3fc596e72966b
"Phường An Lạc, Quận Bình Tân",5.57,Nhà mặt tiền,52.0,5.0,5.0,5.0,,,Sổ hồng,cfe632519ec6a075e18eb9a55177d084
"Phường 17, Quận Gò Vấp",13.0,"Nhà hẻm, ngõ",144.0,,,,,,Sổ hồng,c4eac6eb7a8f486b61f578a247609750
"Xã Thới Tam Thôn, Huyện Hóc Môn",10.3,Đất thổ cư,1167.0,,,,,,Sổ đỏ,cc34a62e0a10de1611771ee744575ee6
"Phường Tân Quý, Quận Tân Phú",6.5,"Nhà hẻm, ngõ",93.0,4.0,4.0,3.0,,,Sổ hồng,e4688b953b4995e9d3a530441efa84ba
"Phường Tây Thạnh, Quận Tân Phú",2.1,"Nhà hẻm, ngõ",55.0,,,,,,Sổ hồng,7cef4ea689f690fb9ced9c1c0e89dd5b
"Phường 2, Quận Tân Bình",14.0,Nhà mặt tiền,43.0,5.0,3.0,3.0,Bắc,Bắc,Sổ hồng,0741ee9d7e36ea1546ffd06fa4ba5b02
"Phường 7, Quận Gò Vấp",18.5,"Biệt thự, Villa",112.0,4.0,,3.0,,,Sổ hồng,69cc37af298fa13c6e2c1ee7a4ec4832
"Phường Tân Kiểng, Quận 7",14.5,Nhà mặt tiền,80.0,,,,,,Sổ hồng,624ab90c42b76b37ec75d7c30949806c
"Phường 6, Quận Bình Thạnh",6.2,Nhà mặt tiền,37.0,3.0,3.0,3.0,Đông Bắc,,Sổ hồng,e8bf2ba9a275056f84ca9c7a34e8540d
"Phường An Phú, TP. Thủ Đức - Quận 2",9.55,"Đất dự án, Khu dân cư",80.0,,,,Đông Nam,,Sổ đỏ,67dfce3ac222ce3bf0492d005d3b1d00
"Phường 16, Quận Gò Vấp",2.2,"Nhà hẻm, ngõ",53.3,4.0,3.0,,,,Sổ hồng,11df0fba86a69665fe71ccef26c9abf9
"Phường Tây Thạnh, Quận Tân Phú",8.5,"Nhà hẻm, ngõ",68.6,5.0,4.0,5.0,,,Sổ hồng,03e4c46ccb7b2b482875bebf9b69077e
"Phường 10, Quận Tân Bình",24.0,"Biệt thự, Villa",180.0,3.0,3.0,2.0,,,Sổ hồng,6303c261e7bf9bf2565f5a8b8e87be46
"Xã Bình Chánh, Huyện Bình Chánh",0.89,"Nhà hẻm, ngõ",125.0,3.0,2.0,,,,Sổ hồng,9569db3d78ea750c6d004198e480b73a
"Phường Hiệp Tân, Quận Tân Phú",18.0,"Nhà hẻm, ngõ",159.0,33.0,33.0,6.0,,,Sổ hồng,65fdb591a8475f1b91ea37f1ce828f7b
"Phường 15, Quận 11",15.5,Nhà mặt tiền,60.0,5.0,4.0,2.0,Tây Bắc,Đông,Sổ hồng,81b75ff8e5ce5c9d94e61440fdaf4cbf
"Phường Tân Hưng, Quận 7",10.0,Đất thổ cư,87.0,,,,,,Sổ hồng,28e7f4a7f762dc12aae91c5f97cef0d9
"Phường Đông Hưng Thuận, Quận 12",4.65,Nhà mặt tiền,43.0,,,,,,Sổ hồng,14c03314e6de83e50caeddc85e9ec271
"Phường 1, Quận Gò Vấp",14.5,Nhà mặt tiền,82.2,5.0,5.0,3.0,Tây Nam,Đông Bắc,Sổ hồng,7f0115aa363ee3c54a1235b6c52644f2
"Phường 4, Quận Tân Bình",17.0,"Nhà hẻm, ngõ",68.0,5.0,7.0,5.0,,,Sổ hồng,dd72657bcd8504376e9ac4c1944c4542
"Phường 7, Quận Phú Nhuận",1.85,"Nhà hẻm, ngõ",28.0,4.0,3.0,,,,Sổ hồng,983a1f8ca58e91229e55fcffe64fef9b
"Phường Bến Thành, Quận 1",36.0,Nhà mặt tiền,67.0,,,2.0,,,Sổ hồng,e4c6952920d0d9739f85590e8009b292
"Phường 4, Quận Gò Vấp",2.2,"Nhà hẻm, ngõ",35.0,4.0,3.0,,,,Sổ hồng,bf6cd9d382fe8089367d53a538f4bb02
"Phường 10, Quận Tân Bình",3.88,"Nhà hẻm, ngõ",24.0,2.0,3.0,3.0,,,Sổ hồng,97e4bf8ca6becd4dd70a2e69bb6a3fd2
"Phường Tân Định, Quận 1",4.5,"Nhà hẻm, ngõ",25.0,2.0,2.0,2.0,,,Sổ hồng,730e58d3877ec94eff838fb830506142
"Phường Bình Trị Đông, Quận Bình Tân",6.3,"Nhà hẻm, ngõ",70.0,3.0,4.0,4.0,,,Sổ hồng,5d34dfbcd21689fe57316b042c25b084
"Phường 14, Quận Tân Bình",3.99,"Nhà hẻm, ngõ",28.0,2.0,1.0,1.0,,,Sổ hồng,c0f2ce6123df3307aaf9c2496ee7bb9e
"Phường 14, Quận 10",12.0,"Nhà hẻm, ngõ",64.0,,,3.0,,,Sổ hồng,7f972b2de30298017ed0cb934ecba7b6
"Phường 10, Quận Tân Bình",2.75,"Nhà hẻm, ngõ",60.0,4.0,4.0,4.0,,,Sổ hồng,c5fb9a3d1b83180b5bc97306f9492dc0
"Phường 8, Quận Phú Nhuận",12.5,"Nhà hẻm, ngõ",138.8,8.0,7.0,2.0,,,Sổ hồng,511f957230eb85c44397997bb58e057a
"Phường 17, Quận Gò Vấp",4.66,"Nhà hẻm, ngõ",75.3,,,1.0,Đông Nam,Đông Nam,Sổ hồng,54f4259032c1048329d012307c2aaeb3
"Phường 9, Quận 11",6.0,"Nhà hẻm, ngõ",120.0,,,,,,Sổ hồng,08e0421b3ac1d92fb0b5a65344f0d797
"Phường An Phú, TP. Thủ Đức - Quận 2",72.0,Nhà mặt tiền,185.0,,,,Đông Nam,Đông Nam,Sổ hồng,03a5f189acffa1239055d2a111b66669
"Phường Nguyễn Cư Trinh, Quận 1",10.5,"Nhà hẻm, ngõ",51.0,,,,,,Giấy tờ hợp lệ,c51815b966d384ed46b73628d153788f
"Thị Trấn Nhà Bè, Huyện Nhà Bè",17.745,Nhà mặt tiền,159.0,,,,,,Sổ hồng,a4a8ae28b1dc998c96b30f16f770f20f
"Phường 9, Quận Tân Bình",6.1,"Nhà hẻm, ngõ",40.0,1.0,,1.0,,,Sổ hồng,0225ba03d91938c5f296d6e5b42e5117
"Phường 5, Quận Gò Vấp",7.35,"Nhà hẻm, ngõ",60.0,,,2.0,,,Sổ hồng,d80494ef367b744c65d901961dbf4f52
"Phường 13, Quận 10",4.9,Nhà mặt tiền,20.0,3.0,3.0,3.0,,,Sổ hồng,7656cbd9836b2b40bcc7ca97e6ac250e
"Phường An Khánh, TP. Thủ Đức - Quận 2",25.0,Đất thổ cư,171.0,,,,,,Sổ hồng,95bc0f9b5e3642c20572b47d112b9e97
"Phường 12, Quận Phú Nhuận",14.5,"Nhà hẻm, ngõ",55.0,4.0,5.0,6.0,,,Sổ hồng,a4dac0056e88a27f65d9827fe11d77de
"Phường Tân Phong, Quận 7",9.5,Nhà mặt tiền,90.0,5.0,5.0,4.0,Đông,Đông,Sổ hồng,5f7cdcb84aff0ec86f18bc9709896f1e
"Phường 7, Quận 10",7.5,"Nhà hẻm, ngõ",31.1,3.0,4.0,,,,Sổ hồng,87a9bb9a24d53f4e0cdfa1caa85f853b
"Phường 6, Quận Bình Thạnh",7.0,"Nhà hẻm, ngõ",74.8,,,,Đông,Đông,Sổ hồng,c1ea0c825c5af9b351d103620b5ed3ca
"Phường Long Phước, TP. Thủ Đức - Quận 9",2.98,Đất thổ cư,57.0,,,,,,Sổ hồng,90612c211b103c141cc77994708df868
"Phường 12, Quận Tân Bình",37.0,"Nhà hẻm, ngõ",160.0,24.0,26.0,7.0,,,Sổ hồng,034bf917b35466c175b42db71e5ebfda
"Phường 2, Quận Bình Thạnh",1.99,"Nhà hẻm, ngõ",39.0,2.0,2.0,2.0,,,Sổ hồng,b8400011e3622e50c5ca18c9ca014c24
"Xã Bình Lợi, Huyện Bình Chánh",9.5,"Đất nông nghiệp, kho bãi",3554.3,,,,,,Sổ hồng,1fa3c45c1c99bb3ae1111d10b7197f88
"Phường 2, Quận Tân Bình",14.2,Nhà mặt tiền,100.0,2.0,2.0,1.0,Tây,Tây,Sổ hồng,f52de1ae3e5383baa32a9014d8df4ac8
"Phường 3, Quận Gò Vấp",2.2,"Nhà hẻm, ngõ",52.0,4.0,3.0,,,,Sổ hồng,9be287385d95b1b1358479a53a057255
"Phường 7 (Phường Võ Thị Sáu), Quận 3",2.0,"Nhà hẻm, ngõ",40.2,4.0,4.0,,,,Sổ hồng,6f64c9a11de239a6fe8bab5b18aacdb0
"Phường 14, Quận Tân Bình",29.8,Nhà mặt tiền,155.0,32.0,,6.0,,,Sổ hồng,cc7e5fd59b1eacbd44a7ed29a16fa97f
"Phường 9, Quận 3",13.5,"Nhà hẻm, ngõ",74.0,5.0,6.0,4.0,,,Sổ hồng,3046474fe142c812eee30681c582ae2e
"Phường 15, Quận Phú Nhuận",16.5,"Nhà hẻm, ngõ",76.0,14.0,15.0,7.0,,,Sổ đỏ,fda5b57bcfef4671ec11904d45ddd847
"Phường Đông Hưng Thuận, Quận 12",3.5,"Nhà hẻm, ngõ",55.0,1.0,2.0,2.0,,,Sổ hồng,65d58028705e9acde37807be81596324
"Phường Nguyễn Thái Bình, Quận 1",55.0,Nhà mặt tiền,80.0,6.0,4.0,,Đông Nam,,Sổ hồng,15cc4452cb3ebbc54ef0b53ee0e60055
"Phường 9, Quận Phú Nhuận",2.15,"Nhà hẻm, ngõ",69.1,4.0,3.0,,,,Sổ hồng,08177a3c3dd948018b2e804b7a9279a4
"Phường Sơn Kỳ, Quận Tân Phú",7.5,Nhà mặt tiền,64.0,4.0,5.0,2.0,Tây Nam,,Sổ hồng,a0ae59ed6cdd4911a4da1c52c7d04241
"Phường Phú Thạnh, Quận Tân Phú",8.5,Nhà mặt tiền,68.0,2.0,2.0,2.0,Đông Bắc,Đông Bắc,Sổ hồng,74c351f95efba0a384b6260c2abb46b0
"Phường 16, Quận 11",3.55,"Nhà hẻm, ngõ",25.2,,,,,,Sổ hồng,4ce5aa62ce3bd5aef8b9b97eb77c1022
"Phường 26, Quận Bình Thạnh",19.0,"Nhà hẻm, ngõ",125.0,6.0,7.0,1.0,Nam,,Sổ hồng,b6eccb32436f29e0d0015453843be4d8
"Phường 10, Quận 3",11.5,"Nhà hẻm, ngõ",72.0,3.0,4.0,,,,Sổ hồng,049b3c51b70fb0cfed3999f13eb7a8d6
"Phường 12, Quận Gò Vấp",8.5,"Nhà hẻm, ngõ",66.0,4.0,5.0,3.0,,,Sổ hồng,de0bc37b6ee03acf0f09b5de2cc8d27e
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",2.35,"Nhà hẻm, ngõ",68.0,4.0,3.0,3.0,,,Sổ hồng,c52c71c67846af6a9512a2d77763b6cc
"Xã Phước Kiển, Huyện Nhà Bè",9.2,"Đất dự án, Khu dân cư",176.2,,,,,,Sổ đỏ,40dbb44798bf21c49e0709d781ea2cf2
"Phường 12, Quận Tân Bình",11.5,"Nhà hẻm, ngõ",75.0,3.0,,2.0,,,Sổ hồng,2019916f2ebc45083e5f930c1a6fcead
"Phường 4, Quận Tân Bình",18.9,Nhà mặt tiền,70.0,5.0,5.0,,Đông Bắc,Đông Bắc,Sổ hồng,372ec30609db8d11ee48bee0f9bbef05
"Phường Tân Sơn Nhì, Quận Tân Phú",8.5,"Nhà hẻm, ngõ",60.0,3.0,2.0,2.0,,,Sổ hồng,2018dd5d0909c5118a51fb740d216f69
"Phường Tân Quý, Quận Tân Phú",6.0,"Nhà hẻm, ngõ",80.0,4.0,3.0,,,,Sổ hồng,21ca73c82050370a47ff1a265610e868
"Phường 15, Quận Gò Vấp",6.95,"Nhà hẻm, ngõ",100.0,,,3.0,,,Sổ hồng,58b961c403356f1c3d0b89743d791b12
"Phường 13, Quận Tân Bình",2.3,"Nhà hẻm, ngõ",45.7,3.0,3.0,3.0,,,Sổ hồng,fef2c69dd35bdfe68b281c12695dd835
"Phường 13, Quận Tân Bình",40.0,Nhà mặt tiền,211.0,20.0,20.0,4.0,,,Sổ hồng,21dd10101ab621e49b812c86294a4da1
"Xã Phước Hiệp, Huyện Củ Chi",1.69,Nhà mặt tiền,251.0,2.0,1.0,1.0,Đông,Đông,Sổ hồng,8a761e088c65db431684e6a42d7970b8
"Phường 12, Quận Tân Bình",8.5,"Nhà hẻm, ngõ",48.0,3.0,4.0,4.0,,,Sổ hồng,485bf2e6ad6f24a803dadcb0d419b2f7
"Phường 4, Quận 4",12.5,Nhà mặt tiền,45.6,4.0,6.0,4.0,Đông Bắc,,Sổ hồng,6abf6a2284a4c98a3ad48fb107d46bf1
"Phường Trường Thạnh, TP. Thủ Đức - Quận 9",4.6,Đất thổ cư,92.0,,,,,,Sổ hồng,bb0f657c49dc1c2e4008020e068392ef
"Phường 13, Quận Tân Bình",8.9,Nhà mặt tiền,57.0,4.0,3.0,3.0,,,Sổ hồng,644ab9c614566e4e172e7bd0e8b46be8
"Phường 14, Quận Gò Vấp",7.35,"Nhà hẻm, ngõ",60.0,4.0,5.0,3.0,Đông Nam,Đông Nam,Sổ hồng,cdbfc0288c49379951e386e9b3a6012b
"Xã Nhơn Đức, Huyện Nhà Bè",1.36,"Nhà hẻm, ngõ",25.0,3.0,2.0,3.0,,,Sổ hồng,31ef4113e0e1cb407380eeb4c066bede
"Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2",0.145,"Đất dự án, Khu dân cư",160.0,,,,,,Hợp đồng mua bán,890ee43b4a39302ec9a5a8b630d822e2
"Xã Lê Minh Xuân, Huyện Bình Chánh",19.0,Nhà mặt tiền,600.0,4.0,4.0,,Tây,Bắc,Sổ hồng,f71a06e3446566484772bcf10ccb8742
"Phường 12, Quận Tân Bình",8.9,Nhà mặt tiền,57.0,4.0,3.0,3.0,,,Sổ hồng,7c73b383c8f13f049eb46d789634395b
"Phường Tây Thạnh, Quận Tân Phú",1.45,"Nhà hẻm, ngõ",25.0,2.0,2.0,2.0,Đông,Đông,Sổ hồng,5ceebec053b3d45b71d23c6730d61846
"Phường 14, Quận 11",14.6,"Nhà hẻm, ngõ",95.4,,,3.0,,,Sổ hồng,ce91987d2c77b278121d742140d214d9
"Phường 15, Quận Tân Bình",6.99,"Nhà hẻm, ngõ",81.6,2.0,3.0,,,,Sổ hồng,d90187231381859dd2911a52cef1790c
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",3.45,"Nhà hẻm, ngõ",68.0,4.0,3.0,4.0,,,Sổ hồng,60a19a5d5b875ac9839340633a2fca46
"Phường 5, Quận Tân Bình",2.85,"Nhà hẻm, ngõ",48.0,4.0,3.0,,,,Sổ hồng,41c75a6bc25291fde96952c65259a3b6
"Phường Hiệp Thành, Quận 12",5.3,Nhà mặt tiền,100.0,2.0,2.0,1.0,Tây Bắc,Tây Bắc,Sổ hồng,4553beb643576bf09ec5a550913a78ea
"Phường Tân Thới Hòa, Quận Tân Phú",7.25,"Nhà hẻm, ngõ",80.7,10.0,10.0,3.0,Tây Nam,Tây Nam,Sổ hồng,4c2405275bb9c2ef2251d77eb025c5c3
"Phường 8, Quận Tân Bình",7.1,Nhà mặt tiền,45.0,7.0,4.0,,,,Sổ hồng,86fd9a9a3f9d10d209c6c1ed1cd3772b
"Phường Bình Hưng Hòa, Quận Bình Tân",3.0,"Nhà hẻm, ngõ",42.0,3.0,3.0,,Bắc,Bắc,Sổ hồng,b180451ac95b5f54bdd3168924fd9aeb
"Phường Tân Sơn Nhì, Quận Tân Phú",5.5,"Nhà hẻm, ngõ",40.0,2.0,2.0,2.0,,,Sổ hồng,4dce1f9a5e24a31941075d823ad82dab
"Phường 2, Quận Tân Bình",11.9,Nhà mặt tiền,50.0,4.0,4.0,,,,Sổ hồng,f62694b25f6d9e5021c0ffc6106be9fa
"Xã Tân An Hội, Huyện Củ Chi",1.5,Đất thổ cư,117.5,,,,,,Giấy tờ hợp lệ,08e2224b5b1083cfcee4d5c8d37421c9
"Phường 3, Quận 8",2.38,"Nhà hẻm, ngõ",37.0,3.0,2.0,3.0,,,Sổ hồng,c0740f2c7b245196f27623e4bd4c36ad
"Xã Tân Hiệp, Huyện Hóc Môn",8.9,Đất thổ cư,575.0,,,,,,Sổ hồng,84d993e0899681ba312a20e54d034d50
"Phường 3, Quận 3",3.65,"Nhà hẻm, ngõ",76.0,3.0,2.0,,,,Sổ hồng,4e3e0b40848dca52d0abe85d3c8c043e
"Phường 13, Quận 3",43.5,"Nhà hẻm, ngõ",202.0,6.0,6.0,3.0,,,Sổ hồng,830921935a8695386e324ca082de0ea4
"Phường 6, Quận Bình Thạnh",4.25,"Nhà hẻm, ngõ",25.5,2.0,2.0,2.0,,,Sổ hồng,a8cfe4c1a3ec95f600068e81677d716d
"Phường An Phú, TP. Thủ Đức - Quận 2",17.5,Nhà mặt tiền,80.0,5.0,5.0,,Tây,,Sổ hồng,9182e85a8de1fb058dfec706d4f9e227
"Phường Hiệp Tân, Quận Tân Phú",28.0,Nhà mặt tiền,150.0,3.0,4.0,,Đông Nam,Đông Nam,Sổ hồng,225a17bac7bcc199c444ced9e83af61d
"Phường 21, Quận Bình Thạnh",17.0,"Nhà hẻm, ngõ",96.9,12.0,12.0,,Tây Nam,Tây Nam,Sổ đỏ,3b793273eea942d0522cd436f7b1485f
"Phường 4, Quận 3",38.0,Nhà mặt tiền,72.0,6.0,6.0,5.0,,,Sổ hồng,d0f39c4fa966ca1433ea986892cb214f
"Phường Tân Kiểng, Quận 7",29.5,Nhà mặt tiền,108.0,20.0,,,,,Sổ hồng,54bd7f71ead69116a9aaaa51c5870443
"Phường Tân Định, Quận 1",8.5,"Nhà hẻm, ngõ",54.0,4.0,,,,,Sổ hồng,5994fad85d4f2f2f7c9dc61e6742d773
"Phường 3, Quận 11",1.57,"Nhà hẻm, ngõ",12.0,,,,,,Giấy tờ khác,0873ef7bb7067f57e92810d0c748eba4
"Phường 17, Quận Gò Vấp",6.0,Đất thổ cư,70.0,,,,,,Sổ hồng,813c276b60e421a3ad359bc5465284e4
"Phường 4, Quận 11",7.1,"Nhà hẻm, ngõ",80.0,5.0,4.0,3.0,,,Sổ hồng,dc7a6adfcf0924c3cf9a06f68701541c
"Phường 12, Quận Gò Vấp",3.95,"Nhà hẻm, ngõ",44.0,,,,,,Sổ hồng,91b273233e3f7cccce6534fb0e192684
"Phường 14, Quận 10",22.5,Nhà mặt tiền,80.0,,,2.0,,,Sổ hồng,26d4716e77add18311853b6877bece69
"Phường 4, Quận Gò Vấp",2.2,"Nhà hẻm, ngõ",48.0,4.0,5.0,,,,Sổ hồng,888524027fec955c612dc0f5ffa88244
"Phường 8, Quận Gò Vấp",6.95,"Nhà hẻm, ngõ",60.0,4.0,3.0,2.0,Đông Bắc,Đông Bắc,Sổ hồng,4503f4fe3d45ccbf6503b936e6d4ec1f
"Phường 4, Quận 3",43.0,Nhà mặt tiền,152.0,3.0,3.0,3.0,,,Sổ hồng,63952e91ac718132575cf51a34d94673
"Phường Bến Thành, Quận 1",35.5,Nhà mặt tiền,6.0,,,4.0,,,Sổ hồng,f7f85901edad868e18f9b2e1d9517d3b
"Phường Phú Trung, Quận Tân Phú",5.5,"Nhà hẻm, ngõ",65.8,3.0,2.0,1.0,,,Sổ hồng,fc1132881dc87ba00f3481f0db2fba44
"Xã Phong Phú, Huyện Bình Chánh",18.0,Đất thổ cư,2300.0,,,,,,Sổ hồng,41599ac45eec30a52e53863ef6831fdf
"Phường Linh Đông, TP. Thủ Đức - Quận Thủ Đức",10.8,Nhà mặt tiền,81.0,,,,,,Sổ hồng,cf975c74eb6aaf0535f40ce372c04905
"Phường 10, Quận Gò Vấp",4.35,"Nhà hẻm, ngõ",36.0,3.0,2.0,2.0,Đông Nam,Đông Nam,Sổ hồng,e9b8fcc0c41ea5895612adf03267fc29
"Phường Tân Thành, Quận Tân Phú",13.9,Nhà mặt tiền,100.0,2.0,1.0,1.0,,,Sổ hồng,8a3c977c325569cd6811e8de01298777
"Phường 25, Quận Bình Thạnh",5.5,"Nhà hẻm, ngõ",40.0,2.0,4.0,4.0,,,Sổ hồng,81244cf6f94c05a0ad259ea4bd586bb3
"Phường 14, Quận 10",8.0,Nhà mặt tiền,56.0,,,,,,Sổ hồng,18b2230d7207d077654327c4a733c271
"Phường 15, Quận Tân Bình",2.85,"Nhà hẻm, ngõ",45.5,,,,,,Giấy tờ hợp lệ,4c0da576883976a5f35947593f20e26e
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",3.65,"Nhà hẻm, ngõ",60.9,4.0,5.0,3.0,,,Sổ hồng,377824e9a15ca5d5c75f5b3c50f0c4fc
"Phường An Phú, TP. Thủ Đức - Quận 2",43.0,Nhà mặt tiền,200.0,,,4.0,Tây Nam,,Sổ hồng,d1e8af33b45b92f302850196f542f7d0
"Phường 13, Quận Bình Thạnh",18.0,"Nhà hẻm, ngõ",170.0,2.0,2.0,2.0,,,Sổ hồng,0b2973828a818d543d51fa2983971e85
"Phường 7, Quận Gò Vấp",14.5,"Nhà hẻm, ngõ",96.0,,,,,,Sổ hồng,0335787c48d6e8ac66f0287c2c71359b
"Phường Bến Thành, Quận 1",200.0,Nhà mặt tiền,176.0,,,5.0,,,Sổ hồng,95d86fb328cd35a00b68d1502174ab8c
"Phường 15, Quận 10",4.65,"Nhà hẻm, ngõ",30.0,5.0,4.0,2.0,,,Sổ hồng,f8a79a2337a0287276224c3b84003848
"Phường Phú Thuận, Quận 7",1.49,"Nhà hẻm, ngõ",58.0,2.0,2.0,1.0,,,Sổ hồng,3a95da6c7744cb3478521f549cb843eb
"Xã Bà Điểm, Huyện Hóc Môn",7.5,Nhà mặt tiền,125.0,5.0,5.0,3.0,,,Sổ hồng,ca01358fb352cf7c62de5a41d742d7c9
"Phường Phú Trung, Quận Tân Phú",5.5,"Nhà hẻm, ngõ",60.3,4.0,3.0,2.0,Đông Nam,Đông Nam,Sổ hồng,0cfa46aa961eedb93d6ea5a89a8e89d3
"Phường 10, Quận Gò Vấp",5.8,"Nhà hẻm, ngõ",36.0,4.0,4.0,3.0,,,Sổ hồng,0a2879075073004669ecb7c9261c175c
"Phường Hiệp Thành, Quận 12",4.2,"Nhà hẻm, ngõ",91.0,3.0,2.0,1.0,,,Sổ hồng,d476bb80f8defbe825c0b0e5c85d2c40
"Phường Tân Quý, Quận Tân Phú",8.0,"Nhà hẻm, ngõ",64.0,4.0,5.0,4.0,Tây,,Sổ hồng,f64a9b499d497f96d2e33e9406df526c
"Phường Tân Thới Hiệp, Quận 12",0.65,"Nhà hẻm, ngõ",100.0,,,,,,Sổ hồng,bd68396a35c7a719a88a50f721361b20
"Phường Phú Trung, Quận Tân Phú",5.0,"Nhà hẻm, ngõ",57.0,2.0,2.0,,,,Sổ hồng,b86a0cb58e253bc317cae6adf370a1be
"Xã Phú Xuân, Huyện Nhà Bè",9.2,"Nhà hẻm, ngõ",157.0,4.0,4.0,2.0,,,Sổ hồng,68cbb76cf4d907ee43c052f4a5ebfc05
"Phường 13, Quận Tân Bình",9.6,"Nhà hẻm, ngõ",50.0,5.0,4.0,4.0,,,Sổ hồng,4cdd038ffdedb978a7b824afea8f3a2b
